#####ESG (strain/slip/slipGradient) history for Gauss Point 1 in Element 20 
TimeStep 	 eps_xx 	 eps_yy 	 gamma_xy 	 s_x 	 s_y 	 g_xx 	 g_yy 	 g_xy 	 g_yx 
33 	 4.166920e-04 	 -1.428821e-05 	 -6.099290e-05 	 2.336394e-05 	 -5.806123e-06 	 7.287104e-05 	 -6.158645e-06 	 -2.574043e-05 	 -5.348527e-07 
34 	 3.820342e-04 	 -1.557853e-05 	 -5.970473e-05 	 2.560823e-05 	 -2.648192e-05 	 8.882174e-05 	 7.482555e-06 	 -4.143544e-05 	 -1.092869e-05 
35 	 3.853556e-04 	 -1.586861e-05 	 -6.047612e-05 	 2.669151e-05 	 -3.194010e-05 	 9.397626e-05 	 1.083819e-05 	 -4.527549e-05 	 -1.374861e-05 
36 	 3.914147e-04 	 -1.610119e-05 	 -6.117780e-05 	 2.761137e-05 	 -3.605495e-05 	 9.839850e-05 	 1.330279e-05 	 -4.852100e-05 	 -1.589666e-05 
37 	 3.990145e-04 	 -1.628143e-05 	 -6.195606e-05 	 2.863775e-05 	 -3.926445e-05 	 1.022799e-04 	 1.522047e-05 	 -5.121354e-05 	 -1.761494e-05 
38 	 4.074420e-04 	 -1.652038e-05 	 -6.256846e-05 	 2.966229e-05 	 -4.189736e-05 	 1.060067e-04 	 1.674787e-05 	 -5.371081e-05 	 -1.901101e-05 
39 	 4.159031e-04 	 -1.670392e-05 	 -6.328205e-05 	 3.073112e-05 	 -4.454362e-05 	 1.097498e-04 	 1.826571e-05 	 -5.620666e-05 	 -2.038359e-05 
40 	 4.246433e-04 	 -1.683714e-05 	 -6.423839e-05 	 3.202467e-05 	 -4.714882e-05 	 1.136304e-04 	 1.975060e-05 	 -5.865717e-05 	 -2.169668e-05 
41 	 4.334770e-04 	 -1.692213e-05 	 -6.573557e-05 	 3.352709e-05 	 -4.982084e-05 	 1.177039e-04 	 2.123155e-05 	 -6.102883e-05 	 -2.296885e-05 
42 	 4.425973e-04 	 -1.698541e-05 	 -6.732020e-05 	 3.515393e-05 	 -5.227817e-05 	 1.218408e-04 	 2.254970e-05 	 -6.327922e-05 	 -2.410523e-05 
43 	 4.513852e-04 	 -1.697426e-05 	 -6.987542e-05 	 3.699129e-05 	 -5.509510e-05 	 1.263556e-04 	 2.399202e-05 	 -6.561623e-05 	 -2.534189e-05 
44 	 4.598706e-04 	 -1.739219e-05 	 -7.491291e-05 	 3.789229e-05 	 -6.229309e-05 	 1.336298e-04 	 2.727893e-05 	 -7.261596e-05 	 -2.734949e-05 
45 	 4.697888e-04 	 -1.794799e-05 	 -7.374095e-05 	 3.981123e-05 	 -6.348348e-05 	 1.375533e-04 	 2.800595e-05 	 -7.476466e-05 	 -2.804058e-05 
46 	 4.787072e-04 	 -1.778548e-05 	 -7.534866e-05 	 4.225402e-05 	 -6.630950e-05 	 1.424335e-04 	 2.945344e-05 	 -7.717585e-05 	 -2.932938e-05 
47 	 4.867473e-04 	 -1.764203e-05 	 -7.850279e-05 	 4.492707e-05 	 -6.953720e-05 	 1.475010e-04 	 3.099889e-05 	 -7.943506e-05 	 -3.060943e-05 
