#####Strain history for point located at x=5.7 and y=0.07, 1x1DD
TimeStep 	 eps_xx 	 eps_yy 	 gamma_xy 
91 	 2.223218e-03 	 -1.809461e-05 	 2.523606e-05 
92 	 2.242956e-03 	 -1.777037e-05 	 2.544457e-05 
93 	 2.263122e-03 	 -1.755763e-05 	 2.565997e-05 
94 	 2.283521e-03 	 -1.714502e-05 	 2.547519e-05 
95 	 2.304542e-03 	 -1.681811e-05 	 2.502554e-05 
96 	 2.330945e-03 	 -1.530691e-05 	 2.126899e-05 
97 	 2.358942e-03 	 -1.325676e-05 	 1.538823e-05 
98 	 2.384268e-03 	 -1.160051e-05 	 1.050770e-05 
99 	 2.410224e-03 	 -9.846435e-06 	 5.493873e-06 
100 	 2.435725e-03 	 -7.842660e-06 	 3.640575e-07 
